Cote,Titre,Auteur,Editeur,Lieu,Annee,Nb pages,Matière,Inventaire
058_31_/14S,Demographic yearbook = annuaire démographique 1974,  ,Nations Unies,New York,1975,1110,Annuaire statistique,FSR_2860
058_31_/15S,Demographic yearbook = annuaire démographique 1975,  ,Nations Unies,New York,1976,1118,Annuaire statistique,FSR_2861
058_33_/01S,L'état du monde (1981): annuaire économique et géopolitique mondial,GEZE François. LACOSTE Yves. VALLADAO Alfredo G.A,Maspero,Paris,1981,504,Annuaire économique,FSR_7665
058_34_/01S,Annuaire de la commission du droit international 1972,  ,Nations Unies,New York,1974,380,Annuaire de droit,FSR_2874
058_34_/02S,Annuaire de la commission du droit international 1973,  ,Nations Unies,New York,1974,260,Annuaire de droit,FSR_2875
058_34_/03t1S,Annuaire de la commission du droit international 1974,  ,Nations Unies,New York,1975,292,Annuaire de droit,FSR_2877
058_34_/03t2S,Annuaire de la commission du droit international 1974,  ,Nations Unies,New York,1976,412,Annuaire de droit,FSR_2879
058_34_/04S,Annuaire de la commission du droit international 1975,  ,Nations Unies,New York,1976,322,Annuaire de droit,FSR_2880
058_34_/05S,Annuaire de la commission du droit international 1976,  ,Nations Unies,New York,1977,310,Annuaire de droit,FSR_2882
058_34_/06S,Annuaire des droits de l'homme pour 1971,  ,Nations Unies,New York,1974,254,Annuaire des droits de l'homme,FSR_2869
058_34_/07S,Annuaire des droits de l'homme pour 1972,  ,Nations Unies,New York,1975,356,Annuaire des droits de l'homme,FSR_2870
058_34_/08S,Annuaire des droits de l'homme pour 1973-1974,  ,Nations Unies,New York,1977,354,Annuaire des droits de l'homme,FSR_2871
058_34_/09S,Commission des Nations-Unies pour le droit commercial international: annuaire. t4,  ,Nations Unies,New York,1974,256,Annuaire de droit commercial,FSR_2883
058_34_/10S,Commission des Nations-Unies pour le droit commercial international : annuaire. t5,  ,Nations Unies,New York,1976,256,Annuaire de droit commercial,FSR_2884
058_34_/11S,Nations-Unies: annuaire juridique 1972,  ,Nations Unies,New York,1974,272,Annuaire juridique,FSR_2896
058_34_/12S,Nations-Unies: annuaire juridique 1973,  ,Nations Unies,New York,1975,264,Annuaire juridique,FSR_2897
058_34_/13S,Nations-Unies: annuaire juridique 1974,  ,Nations Unies,New York,1976,278,Annuaire juridique,FSR_2898
058_34_/14t1S,Annuaire du Tiers-Monde (1974-1975). t1,  ,B. Levrault,Paris,1976,666,Annuaire politique et juridique,FSR_387
058_34_/14t2S,Annuaire du Tiers-Monde (1975-1976). t2,  ,B. Levrault,Paris,1977,794,Annuaire politique et juridique,FSR_388
058_34_/14t3S,Annuaire du Tiers-Monde (1976-1977). t3,  ,B. Levrault,Paris,1978,650,Annuaire politique et juridique,FSR_386
058_34_/14t4S,Annuaire du Tiers-Monde (1977-1978). t4,  ,B. Levrault,Paris,1979,650,Annuaire politique et juridique,FSR_4087
058_37_/01S,Annuaire international de l'éducation,  ,Bie,Genève,1970,248,Annuaire de l'éducation,FSR_210
058_38_/01S,Trade yearbook = annuaire du commerce. vol 29,  ,Onu,Rome,1975,532,Annuaire du commerce,FSR_2686
058_38_/02S,FAO trade yearbook = annuaire FAO du commerce,  ,Unesco,Rome,1977,256,Annuaire du commerce,FSR_2687
058_3_/01t10S,Annuaire de l'Afrique du Nord (1971). t10,  ,Cnrs,Paris,1972,1254,Annuaire,FSR_4359
058_3_/01t11S,Annuaire de l'Afrique du Nord (1972). t11,  ,Cnrs,Paris,1973,1164,Annuaire,FSR_136
058_3_/01t12S,Annuaire de l'Afrique du Nord (1973). t12,  ,Cnrs,Paris,1974,1392,Annuaire,FSR_137
058_3_/01t13S,Annuaire de l'Afrique du Nord (1974). t13,  ,Cnrs,Paris,1975,1224,Annuaire,FSR_4360
058_3_/01t14S,Annuaire de l'Afrique du Nord (1975). t14,  ,Cnrs,Paris,1976,1404,Annuaire,FSR_4361
058_3_/01t15S,Annuaire de l'Afrique du Nord (1976). t15,  ,Cnrs,Paris,1977,1464,Annuaire,FSR_138
058_3_/01t16S,Annuaire de l'Afrique du Nord (1977). t16,  ,Cnrs,Paris,1978,1356,Annuaire,FSR_2803
058_3_/01t17S,Annuaire de l'Afrique du Nord (1978). t17,  ,Cnrs,Paris,1979,1364,Annuaire,FSR_4362
058_3_/01t18S,Annuaire de l'Afrique du Nord (1979). t18,  ,Cnrs,Paris,1980,1532,Annuaire,FSR_2466
058_3_/01t19S,Annuaire de l'Afrique du Nord (1980). t19,  ,Cnrs,Paris,1981,1396,Annuaire,FSR_13445
058_3_/01t1S,Annuaire de l'Afrique du Nord (1962). t1,  ,Cnrs,Paris,1972,942,Annuaire,FSR_127
058_3_/01t20S,Annuaire de l'Afrique du Nord (1981). t20,  ,Cnrs,Paris,1982,1408,Annuaire,FSR_13340
058_3_/01t21,Annuaire de l'Afrique du Nord (1982). t21,  ,Cnrs,Paris,1984,1178,Annuaire,FSR_16964
058_3_/01t22,Annuaire de l'Afrique du Nord (1983). t22,  ,Cnrs,Paris,1985,1288,Annuaire,FSR_16965
058_3_/01t27,Annuaire de l'Afrique du Nord (1988). t27,  ,Cnrs,Paris,1990,1161,Annuaire,FSR_24073
058_3_/01t28,Annuaire de l'Afrique du Nord (1989). t28,  ,Cnrs,Paris,1991,1098,Annuaire,FSR_24074
058_3_/01t2S,Annuaire de l'Afrique du Nord (1963). t2,  ,Cnrs,Paris,1974,1204,Annuaire,FSR_128
058_3_/01t3S,Annuaire de l'Afrique du Nord (1964). t3,  ,Cnrs,Paris,1977,974,Annuaire,FSR_129
058_3_/01t4S,Annuaire de l'Afrique du Nord (1965). t4,  ,Cnrs,Paris,1975,1068,Annuaire,FSR_130
058_3_/01t5S,Annuaire de l'Afrique du Nord (1966). t5,  ,Cnrs,Paris,1977,1108,Annuaire,FSR_131
058_3_/01t6S,Annuaire de l'Afrique du Nord (1967). t6,  ,Cnrs,Paris,1977,1328,Annuaire,FSR_132
058_3_/01t7S,Annuaire de l'Afrique du Nord (1968). t7,  ,Cnrs,Paris,1977,1176,Annuaire,FSR_133
058_3_/01t8S,Annuaire de l'Afrique du Nord (1969). t8,  ,Cnrs,Paris,1977,1320,Annuaire,FSR_134
058_3_/01t9S,Annuaire de l'Afrique du Nord (1970). t9,  ,Cnrs,Paris,1971,1228,Annuaire,FSR_135
058_3_/02t1,Année africaine 1963. t1,  ,A. Pedone,Paris,1965,515,Annuaire de l'Afrique,FSR_8771
058_3_/02t10,Année africaine : 1972,  ,A. Pedone,Paris,1973,646,Annuaire de l'Afrique,FSR_8780
058_3_/02t11,Année africaine 1973,  ,A. Pedone,Paris,1974,734,Annuaire de l'Afrique,FSR_8781
058_3_/02t12,Année africaine 1974,  ,A. Pedone,Paris,1975,729,Annuaire de l'Afrique,FSR_8782
058_3_/02t13,Année africaine 1975,  ,A. Pedone,Paris,1976,704,Annuaire de l'Afrique,FSR_8783
058_3_/02t14,Année africaine 1976,CEANB,A. Pedone,Paris,1978,705,Annuaire de l'Afrique,FSR_8784
058_3_/02t15,Année africaine 1977,CEANB,A. Pedone,Paris,1979,576,Annuaire de l'Afrique,FSR_8785
058_3_/02t16,Année africaine 1978,CEANB,A. Pedone,Paris,1979,464,Annuaire de l'Afrique,FSR_8786
058_3_/02t2,Année africaine 1964,  ,A. Pedone,Paris,1969,461,Annuaire de l'Afrique,FSR_8772
058_3_/02t3,Année africaine 1965,  ,A. Pedone,Paris,1967,523,Annuaire de l'Afrique,FSR_8773
058_3_/02t4,Année africaine 1966,  ,A. Pedone,Paris,1968,662,Annuaire de l'Afrique,FSR_8774
058_3_/02t5,Année africaine 1967,  ,A. Pedone,Paris,1969,548,Annuaire de l'Afrique,FSR_8775
058_3_/02t6,Année africaine 1968,  ,A. Pedone,Paris,1970,416,Annuaire de l'Afrique,FSR_8776
058_3_/02t7,Année africaine 1969,  ,A. Pedone,Paris,1971,549,Annuaire de l'Afrique,FSR_8777
058_3_/02t8,Année africaine 1970,CEANB,A. Pedone,Paris,1971,498,Annuaire de l'Afrique,FSR_8778
058_3_/02t9,Année africaine 1971,  ,A. Pedone,Paris,1972,610,Annuaire de l'Afrique,FSR_8779
058/01S,Annuaire de l'Afrique et du Moyen-Orient (1979),  ,Jeune Afrique,Paris,1979,572,Annuaire,FSR_2440
058/02S,Yearbook of products = annuaire des produits forestiers (1966-1977),  ,Onu,Rome,1979,468,Annuaire des produits forestiers,FSR_2619
061.3_54_/01,2ème congrès national de chimie : société marocaine de chimie (Marrakech 19-21 janvier 1989),CONGRES,Faculté des sciences,Casablanca,1988,200,Congrès,FSR_19858
069_44_/03,Les musées de France,POISSON Georges,Puf,Paris,1976,118,Musées,FSR_2397
069/01,Guide pour la sécurité des biens culturels,BOSTICK William,Unesco,Paris,1978,48,Musées,FSR_5631
069/02,Musées et muséologie,BENOIST Luc,Puf,Paris,1971,128,Musée: France,FSR_2370
069/04,"Musées, imagination et éducation",  ,Unesco,Paris,1973,164,Musées,FSR_5784
069/05,La préservation des biens culturels,  ,Unesco,Paris,1969,364,"Musées, collections",FSR_5785
069/06,"Claquemurer, pour ainsi dire, tout l'univers : la mise en exposition",DAVALLON Jean,Cgp/Cci,Paris,1986,304,Expositions,FSR_16819
070.11/01,Déontologie de l'information : codes et conseils de presse,JONES Clément,Unesco,Paris,1981,88,"Ethique, influence responsabilité vue générale",FSR_9020
070.484/01,La presse et le mouvement national chez les musulmans de russie avant 1920,BENNIGSEN Alexandre. LEMERCIER-QUELQUE Jay Chantal,Mouton,Paris,1964,288,Journaux pour les étrangers,FSR_14337
070/01,L'information dans le monde : 206 pays au microscope,Observatoire de l'infomation,Seuil,Paris,1989,642,L'information,FSR_20010
07_091_/01,Histoire de la presse,ALBERT P. TERROU Fernand,Puf,Paris,1979,128,Journalisme,FSR_1559
07_091_/01bis,Histoire de la presse,ALBERT Pierre. TERROU Fernand,Puf,Paris,1970,128,Journalisme,FSR_12026
07_44_/01t1,Histoire générale de la presse française : des origines à 1814 . t1,  ,Puf,Paris,1969,638,Journaux. Journalisme,FSR_14624
07_44_/01t2,Histoire générale de la presse française : de 1815 à 1871. t2,  ,Puf,Paris,1969,470,Journaux. Journalisme,FSR_14625
07_44_/01t3,Histoire générale de la presse française : de 1871 à 1940. t3,  ,Puf,Paris,1972,690,Journaux. Journalisme,FSR_14626
07_44_/01t4,Histoire générale de la presse française : de 1940 à 1958. t4,  ,Puf,Paris,1975,490,Journaux. Journalisme,FSR_14627
07_44_/01t5,Histoire générale de la presse française : de 1958 à nos jours . t5,  ,Puf,Paris,1976,554,Journaux. journalisme,FSR_14628
07_728_/08,"Presse, radio et télévision aux Etats-Unis",BURBAGE R. CAZEMAJOU J. KASPI A,A. Colin,Paris,1972,414,"Journaux, journalisme",FSR_18198
07-févr,La presse,ALBERT Pierre,Puf,Paris,1982,128,Journaux . journalisme,FSR_12016
07-mars,La presse maghrébine : Libye - Tunisie - Maroc - Algérie,SOURIAU-HOEBRECHTS C,Cnrs,Paris,1975,372,Journaux . journalisme,FSR_6669
07-avr,La presse maghrébine : Libye - Tunisie - Maroc - Algérie,SOURIAU-HOEBRECHTS C,Cnrs,Paris,1975,372,Journaux . journalisme,FSR_10372
07-mai,La presse,ALBERT Pierre,Puf,Paris,1976,128,Journaux . journalisme,FSR_1558
07-juin,Technique du journalisme,GAILLARD Philippe,Puf,Paris,1975,126,Journalisme,FSR_1552
07-juil,L'espérance au purgatoire,DEBRAY Regis,A. Moreau,Paris,1980,188,Journalisme,FSR_11441
07-sept,De source bien informée... : l'enquête journalistique,STRENTZ Herbert,Horizons,Paris,1983,132,Journalisme,FSR_18196
07/09bis,De source bien informée...: l'enquête journalistique,STRENTZ Herbert,Nouveaux Horizons,Sl,1985,132,Journalisme,FSR_24100
07-oct,La protection des journalistes : en émission périlleuse dans les zones de conflit armé,BOITON-MALHERBE Sylvie,Bruylant,Bruxelles,1989,406,"Journaux, journalisme",FSR_22091
07-nov,Journalisme et Tiers-Monde : guide pratique,HESTER Albert. TO Wailan J,De Boeck/Wesimael,Bruxelles,1989,0,Journalisme,FSR_21479
07-déc,Les journalistes et le système médiatique,MATHIEN Michel,Hachette,Paris,1992,368,Journalisme : information,FSR_25141
09-janv,Les certificats de lecture et de transmission dans les manuscrits arabes de la bibliothèque national de Paris,VAZDA Georges,Cnrs,Paris,1957,86,Manuscrits . ouvrages remarquables,FSR_9896
101.1/01,La mal mesure de l'homme: l'intelligence sous la toise des savants,GOULD Stephen Jay,Ramsay,Paris,1983,378,La philosophie comme science,FSR_13001
101.1/02,Etats généraux de la philosophie (16 et 17 juin 1979),  ,Flammarion,Paris,1979,254,Nature et domaine de la philosophie,FSR_8817
101.1/03,Modern philosophy: an introduction,LACEY A.R,Routledge and Kegan,Boston,1982,220,Nature et domaine de la philosophie,FSR_10208
101.1/04,Scientific revolutions,HACKING Ian,Oup,Hong Kong,1983,167,La philosophie comme science,FSR_11845
101.1/05,Etudes de philosophie moderne,BREHIER Emile,Puf,Paris,1965,239,Nature et domaine de la philosophie,FSR_11697
101.1/06,L'absolu et la philosophie: essais sur schelling,TILLIETTE Xavier,Puf,Paris,1987,264,La philosophie de schelling,FSR_21120
101.1/07,The philosophy of science,NIDDITCH P.H,Oup,Uneited States,1981,177,La philosophie comme science,FSR_9790
101.1/08,Scientific revolutions,HACKING Ian,Oup,United States,1981,168,La philosophie comme science,FSR_9095
101.1/09,Ecrits philosophiques. t3 : science - religion,BRUNSCHVICG Léon,Puf,Paris,1958,252,Nature et domaine de la philosophie,FSR_12088
101.1/10,Philosophie des sciences (textes choisis),COMTE Auguste,Puf,Paris,1974,212,La philosophie comme science,FSR_13218
101.1/11,La philosophie des lumières,CASSIRER Ernest,Fayard,Paris,1966,345,Nature et domaine de la philosophie,FSR_10994
101.1/12,La philosophie silencieuse ou critique des philosophies de la science,TOUSSAINT Destanti J. E,Seuil,Paris,1975,283,Philosophie comme science,FSR_13834
101.1/13,Les métaphores de l'organisme,SCHLANGER Judith E,Librairie Philosophique,Paris,1971,269,Nature et domaine de la philosophie,FSR_13689
101.1/14,Philosopher: les interrogations contemporaines matériaux pour un enseignement,DELACAMPAGNE Christian (s/s dir),Fayard,Paris,1980,536,Nature et domaine de la philosophie,FSR_6741
101.1/16,Le nombre et le lieu,DAGOGNET François,Vrin,Paris,1984,216,Nature et domaine de la philosophie,FSR_15095
101.2/01,L'avenir de la philosophie,SOURIAU Etienne,Gallimard,Paris,1982,318,Quelles sont les possibilités de la philosophie,FSR_13606
101.3/01,Pour la connaissance philosophique,GRANGER Gilles-Gasto,Odile Jacob,Paris,1988,288,Domaine et limite de la philosophie,FSR_18704
101.3/01bis,Pour la connaissance philosophique,GRANGER Gilles-Gasto,Odile Jacob,Paris,1988,288,Domaine et limite de la philosophie,FSR_18946
101.8/01,La méthode philosophique en histoire des sciences: textes 1914-1939,METZGER Hélène,Fayard,Paris,1987,290,Méthodes de la philosophie,FSR_21100
101.9/01,Le concept de monde chez Heidegger,BIEMEL Walter,Vrin,Paris,1981,184,Personne et conception du philosophe,FSR_14428
101.9/02,Aristote et le lycée,BRUN Jean,Puf,Paris,1977,128,Philosophie,FSR_1524
101.9/03,Socrate,BRUN Jean,Puf,Paris,1978,128,Philosophie,FSR_1514
101.9/04,Platon et l'académie,BRUN Jean,Puf,Paris,1974,128,Philosophie,FSR_1515
101.9/05,La pensée de Nietzsche et l'homme actuel,LAURENT Daniel,Privat,Toulouse,1973,200,Personne et conception du philosophe,FSR_14294
101.9/06,Spinoza et spinozisme,MOREAU Joseph,Puf,Paris,1977,128,Philosophie,FSR_1909
101.9/07,Le jeune Hegel: sur les rapports de la dialectique et de l'économie. t1,LUKACS Georges,Gallimard,Paris,1981,447,Philosophie,FSR_7293
101.9/08,Le jeune Hegel: sur les rapports de la dialectique et de l'économie. t2,LUKACS Georges,Gallimard,Paris,1981,447,Philosophie,FSR_7294
101.9/09,Karl Marx 1818 - 1968,  ,Inter natione,Bonn,1968,253,Philosophie,FSR_6597
101.9/10,Heraclite et la philosophie,AXELOS Kostas,Minuit,Paris,1962,277,Personne et conception du philosophe,FSR_9700
101.9/100,Machiavel,DUVERNOY Jean-François,Bordas,Paris,1986,284,Personne et conception du philosophe,FSR_19414
101.9/101,Spinoza,MILLET Louis,Bordas,Paris,1986,160,Personne et conception du philosophe,FSR_19413
101.9/102,Epicure: lettres,SALEM Jean,Nathan,Paris,1982,112,Personne et conception du philosophe,FSR_19422
101.9/103,Thomas Hobbes,NAVILLE Pierre,Plon,Paris,1988,276,Personne et conception du philosophe,FSR_20057
101.9/104,Socrate(s),KOFMAN Sarah,Galilée,Paris,1989,344,Personne et conception du philosophe,FSR_20085
101.9/105,Martin Heidegger: l'oeuvre et l'engagement,HABERMAS Jurgen,Cerf,Paris,1988,80,Personne et conception du philosophe,FSR_20089
101.9/105bis,Martin Heidegger : l'oeuvre et l'engagement,HABERMAS Jurgen,Cerf,Paris,1988,80,Personne et conception du philosophe : M. Heidegger,FSR_20866
101.9/106,Michel Comte (1926-1984),ERIBON Didier,Flammarion,Paris,1989,408,Personne et conception du philosophe,FSR_20129
101.9/106bis,Michel Comte (1926-1984),ERIBON Didier,Flammarion,Paris,1989,408,Personne et conception du philosophie,FSR_21164
101.9/107,Périclès et Verdi: la philosophie de François Châtelet,DELEUZE Gilles,Minuit,Paris,1988,32,Personne et conception du philosophe,FSR_20599
101.9/108,Le pli: Leibniz et la baroque,DELEUZE Gilles,Minuit,Paris,1988,192,Personne et conception du philosophe,FSR_20600
101.9/109,Michel Comte: la liberté de savoir,RAJCHMAN John,Puf,Paris,1987,160,Personne et conception du philosophe,FSR_20573
101.9/11,Georges Bataille: le système du non-savoir : une ontologie du jeu,SASSO Robert,Minuit,Paris,1978,245,Personne et conception du philosophe,FSR_9406
101.9/110,Maurice Merleau-Ponty: le psychique et le corporel,  ,Aubier,Paris,1988,240,Personne et conception du philosophe,FSR_20602
101.9/111t1,Jean-Jacques Rousseau et la pensée du malheur: le traité du mal,PHILONENKO Alexis,Vrin,Paris,1984,336,Personne et conception du philosophe: J-J. Rousseau,FSR_21848
101.9/111t2,Jean-Jacques Rousseau et la pensée du malheur: l'espoir et l'existence,PHILONENKO Alexis,Vrin,Paris,1984,320,Personne et conception du philosophe: J-J. Rousseau,FSR_21849
101.9/111t3,Jean-jacques Rousseau et la pensée du malheur: apothéose du désespoir,PHILONENKO Alexis,Vrin,Paris,1984,354,Personne et conception du philosophe: J-J. Rousseau,FSR_21850
101.9/112,"Hegel: le malheur de la conscience ou l'accès à la raison:liberté de l'autoconscience; stoïcisme, scepticisme et la conscience malheureuse.",JARCZYK Gwendoline. LABRRIERE Pierre-Jean,Aubier,Paris,1989,168,Personne et conception du philosophe: Hegel,FSR_21808
101.9/113,Martin Heidegger: éléments pour une biographie,OTT HUGO,Payot,Paris,1990,422,personne et conception du philosophe: M. Heidegger,FSR_22441
101.9/114,Liberté et existence: étude sur la formation de la philosophie de schelling,MARQUET Jean-François,Gallimard,Paris,1973,594,Personne et conception du philosophe: schelling,FSR_22114
101.9/115,Heidegger et l'expérience de la pensée,BIRAULT Henri,Gallimard,Paris,1978,632,Personne et conception du philosophe: M. Heiddegger,FSR_22226
101.9/116,Ludwing Wittgenstein,CHAUVIRE Christiane,Seuil,Paris,1986,288,Personne et conception du philosophe: Wittgenstei,FSR_19650
101.9/116bis,Ludwing Wittgenstein,CHAUVIRE Christiane,Seuil,Paris,1989,288,Personne et conception du philosophe: Wittgenstein,FSR_22798
101.9/117,Karl Popper,BAUDOUIN Jean,Puf,Paris,1989,128,Personne et conception du philosophe: K. Popper,FSR_21701
101.9/118,L'enjeu des signes: lecture de Nietzsche,REY Jean-Michel,Seuil,Paris,1971,290,Personne et conception du philosophe: Nietzsche,FSR_21766
101.9/119,Nietzsche: le corps et la culture: la philosophie comme généalogie philologique,BLONDEL Eric,Puf,Paris,1986,360,Personne et conception du philosophe: Nietzsche,FSR_21689
101.9/12,Leibniz et la formation de l'esprit capitaliste,ELSTER Jon,Aubier/Montaigne,Paris,1975,253,Personne et conception du philosophe,FSR_9446
101.9/120,Hobbes et l'état représentatif moderne,JAUME Lucien,Puf,Paris,1986,240,Personne et conception du philosophe: Hobbes,FSR_21990
101.9/121,"Michel Comte philosophe: rencontre internationale, Paris 9, 10, 11 janvier 1988",  ,Seuil,Paris,1989,416,Personne et conception du philosophe: M. Foucault,FSR_21882
101.9/122,"Introduction à la philosophie pratique de Kant: la morale, le droit et la religion",HÖFFE Otfried,Castella,Suisse,1985,328,Personne et conception du philosophe,FSR_21866
101.9/123,Le tournant dans la pensée de Martin Heidegger,GRONDIN Jean,Puf,Paris,1987,144,Personne et conception du philosophe: M. Heidegger,FSR_21997
101.9/124,Spinoza et l'imaginaire,BERTRAND Michèle,Puf,Paris,1983,192,Personne et conception du philosophe: Spinoza,FSR_21989
101.9/125,La liberté humaine dans la philosophie de Fichte,PHILONENKO Alexis,Vrin,Paris,1980,354,Personne et conception du philosophe: Fichte,FSR_21847
101.9/126,"Leibniz: sur l'origine radicale des choses(1697), la cause de Dieu (1710)",BOURDIL Pierre-Yves,Hatier,Paris,1984,80,Personne et conception du philosophe: Leibniz,FSR_21886
101.9/127,L'individualité dans la philosophie de Bergson,GILSON Bernard,Vrin,Paris,1985,112,Personne et conception du philosophe: Bergson,FSR_21864
101.9/128,Histoire et structure: à la mémoire de Victor Goldschmidt,BRUNSCHWIG Jacques. IMBERT Claude. ROGER Alain (s/s dir.),Vrin,Paris,1985,336,Personne et conception du philosophe: Goldschmidt,FSR_21828
101.9/129,Introduction à Heidegger,VATTIMO Gianni,Cerf,Paris,1985,192,Personne et conception du philosophe: Heidegger,FSR_22038
101.9/13,Le structuralisme génétique,GOLDMANN Lucien,Denoêl,Paris,1977,286,Philosophie,FSR_11483
101.9/130,La cohérence de la doctrine kantienne de la liberté,CARNOIS Bernard,Seuil,Paris,1973,224,Personne et conception du philosophe: Kant,FSR_21764
101.9/131,Système et existence dans l'oeuvre de Malebranche,ROBINET André,Vrin,Paris,1965,508,Personne et conception du philosophe: Malebranche,FSR_21851
101.9/132,"Malebranche de l'académie des sciences: l'oeuvre scientifique, 1674-1715",ROBINET André,Vrin,Paris,1970,448,Personne et conception du philosophe: Malebranche,FSR_21852
101.9/133,L'oeuvre de Spinoza,FRAISSE Jean-Claude,Vrin,Paris,1978,384,Personne et conception du philosophe: Spinoza,FSR_21853
101.9/134,Hobbes,BERNHARDT Jean,Puf,Paris,1989,128,Personne et conception du philosophe: Hobbes,FSR_22062
101.9/135,La pensée politique d'Algernon Sidney (1683-1683): la querelle de l'absolutisme,CARRIVE Paulette,M. Klincksieck,Paris,1989,264,Personne et conception du philosophie: Sidney,FSR_22977
101.9/136,Henri Bergson,JANKELEVITCH Vladimir,Puf,Paris,1959,300,Personne et conception du philosophe : Bergson,FSR_22930
101.9/137,"Schopenhauer, philosophe de l'absurde",ROSSET Clément,Puf,Paris,1967,116,Personne et conception du philosophe : Schaupenhauer,FSR_22926
101.9/138,Aristote et son école,MOREAU Joseph,Puf,Paris,1962,338,Personne et conception du philosophe : Aristote,FSR_22917
101.9/139,Thomas Hobbes de la métaphysique à la politique,BERTMAN Martin,Vrin,Paris,1989,256,Personne et conception du philosophe : thomas Hobbes,FSR_21720
101.9/14,Spinoza et la pensée française avant la révolution,VERNIERE Paul,Puf,Paris,1982,772,Histoire de la philosophie française,FSR_13187
101.9/140,Cicéron un philosophe pour notre temps,MULLER Philippe,L'Age de l'Homme,Paris,1990,20,Personne et conception du philosophe : Cicéron,FSR_23529
101.9/143,Wittgenstein : le devoir de génie,MONK Ray,Odile Jacob,Paris,1993,628,Personne et conception du philosophe : Wittgenstein,FSR_25241
101.9/14bis,Spinoza et la pensée française avant la révolution,VERNIERE Paul,Puf,Paris,1982,772,Histoire de la philosophie française,FSR_16330
101.9/15,Jean-Jacques Rousseau,MOREAU Joseph,Puf,Paris,1973,192,Personne et conception du philosophe,FSR_14367
101.9/16,Physique et métaphysique ( textes choisis ),ARISTOTE,Puf,Paris,1972,192,Personne et conception du philosophe,FSR_13216
101.9/17bis,Bachelard,GINESTIER Paul,Bordas,Paris,1965,228,Personne et conception du philosophe,FSR_19399
101.9/18,La pensée de Plotin,BALADI Naguib,Puf,Paris,1970,123,Personne et conception du philosophe,FSR_13223
101.9/19,Le bergsonnisme,DELEUZE Gilles,Puf,Paris,1968,119,Personne et conception du philosophe,FSR_13225
101.9/20,Le pur et l'impur,JANKELEVITCH Vladimir,Flammarion,Paris,1960,314,Personne et conception du philosophe,FSR_10277
101.9/21,Entretiens avec le monde: philosophies. t1,DELACAMPAGNE Christian,La Découverte,Paris,1984,240,Personne et conception du philosophe,FSR_13795
101.9/22,Hegel ou Spinoza,MACHEREY Pierre,Maspero,Paris,1979,264,Personne et conception du philosophe,FSR_11105
101.9/23,Un destin philosophique,DESANTI Jean-Toussaint,Grasset,Paris,1982,304,Personne et conception du philosophe,FSR_10763
101.9/24,La pensée de Louis Althusser,COTTEN Jean-Pierre,Privat,Toulouse,1979,202,Personne et conception du philosophe,FSR_11131
101.9/25,Leibniz l'entendement humain,LEIBUIZ G.W,Puf,Paris,1969,272,Personne et conception du philosophe,FSR_13224
101.9/26,De la certitude,WITTGENSTEIN Ludwing,Gallimard,Paris,1976,152,Personne et conception du philosophie,FSR_13685
101.9/27,Descartes et l'ordre politique,GUENANCIA Pierre,Puf,Paris,1983,256,Personne et conception du philosophie,FSR_13198
101.9/28,The muntakhab siwan al-hikmah of abu sulaiman as-sijistani: arabic texs. introduction and indices,DUNLOP D.M,Mouton,Hungary,1979,179,Personne et conception du philosophe,FSR_9088
101.9/29,Etudes galiléennes,KOYRE Alexandre,Hermann,Paris,1966,341,Personne et conception du philosophe,FSR_14521
101.9/30,Aphorisme sur la sagesse dans la vie,SCHOPENHAUER Arthur,Puf,Paris,1983,173,Personne et conception du philosophe,FSR_14202
101.9/31,Descartes : l'entretien avec Burman,BEYSSADE Jean-Marie,Puf,Paris,1981,215,Personne et conception du philosophe,FSR_14277
101.9/32,Schopenhauer: le vouloir vivre l'art et la sagesse,DEZ André,Puf,Paris,1983,220,Personne et conception du philosophe,FSR_13183
101.9/33,Nietzsche: vie et vérité,GRANIER Jean,Puf,Paris,1983,215,Personne et conception du philosophe,FSR_13232
101.9/34,Sartre entre Marx et Freud,HODARD Philippe,Lattés,Paris,1979,152,Personne et conception du philosophe,FSR_14354
101.9/35,Livres des directives et remarques (kitab al-isarat wa l-tanbihat),IBN SINA (AVICENNE),Vrin,Paris,1951,556,Personne et conception du philosophe,FSR_14534
101.9/36,L'humanisme arabe au IVè / Xè siècle : Miskawayh philosophe et historien,ARKOUN Mohammed,Vrin,Paris,1982,388,Personne et conception du philosophe,FSR_11281
101.9/36bis,L'humanisme arabe au IVè / Xè siècle : Miskawayh philosophe et historien,ARKOUN Mohammed,Vrin,Paris,1982,387,Personne et conception du philosophe,FSR_16989
101.9/36ter,"Contribution à l'étude de l'humanisme arabe au IVè / Xè siècle : Miskawayh, philosophe et historien",ARKOUN Mohammed,Vrin,Paris,1970,388,Personne et conception du philosophe,FSR_366
101.9/37,Création et valeurs éthiques chez Bergson,BRETONNEAU Gisèle,Sées,Paris,1975,320,Personne et conception du philosophe,FSR_11077
101.9/37bis,Création et valeurs éthiques chez Bergson,BRETONNEAU Gisele,Sedes,Paris,1975,320,Personne et conception du philosophe,FSR_23898
101.9/39,Hayy Ibn Yaqzân,IBN TUFAYL,Papyrus,Paris,1983,144,Personne et conception du philosophe,FSR_10733
101.9/40,Multiple Averroès,  ,Les Belles Lettres,Paris,1978,390,Personne et conception du philosophe,FSR_11616
101.9/41,"Nietzshe, Rée, Salomé: correspondance",PFEIFFER Ernest (ED),Puf,Paris,1979,424,Personne et conception du philosophe,FSR_14764
