Cote,Titre,Auteur,Editeur,Lieu,Annee,Nb pages,Matière,Inventaire
93:297/12,الكامل في التاريخ,ابن الاثير,دار صادر,بيروت,1979.0,553,تاريخ الإسلام,FSR_7578
93:297/15,الكامل في التاريخ,ابن الاثير,دار صادر,بيروت,1979.0,687,تاريخ الإسلام,FSR_7581
93:297/16,الكامل في التاريخ,ابن الاثير,دار صادر,بيروت,1979.0,563,تاريخ الاسلام,FSR_7582
347.23/04 مكرر,ملكية الأرض في موريتانيا,"ابن البراء, يحي",معهد الدراسات الإفريقية,نواكشوط,1999.0,207,القانون المدني,FSR_27719
297.911/05,نحو تطبيق النظام الإقتصادي والإجتماعي الإسلامي,"ابن البشير, محمد",مطبعة الرسالة,الرباط,1979.0,77,الإسلام والعلوم الإقتصادية,FSR_10621
297.16/06,عنوان الدليل من مرسوم خط التنزيل,"ابن البناء المراكشي, أبو العباس أحمد",دار المغرب الإسلامي,بيروت,1990.0,158,القرآن: رسم المصحف - الخط,FSR_22523
091:001/01,كتاب الدلائل,"ابن البهلول, الحسن",معهد تاريخ العلوم العربية والاسلامية,فرانكفورت,1985.0,579,مخطوطات,FSR_17965
297.413/07,المنتقى من السنن المسندة عن رسول الله(ص),"ابن الجارود, أبو محمد عبد الله",دار الجنان - مؤسسة الكتب الثقافية,بيروت,1988.0,328,السنة النبوية,FSR_18807
091:61/06,كتاب الإعتماد في الأدوية المفردة,"ابن الجزار, أبو جعفر أحمد بن إبراهيم",معهد تاريخ العلوم العربية والاسلامية,فرانكفورت,1985.0,180,مخطوطات: الطب,FSR_17955
297.122/42,زاد المسير في علم التفسير. الجزء التاسع,"ابن الجوزي, أبو الفرج عبد الرحمان بن علي",دمشق : المكتب الإسلامي,بيروت,1964.0,374,القرآن : تفسير,FSR_4978
297.122/34,زاد المسير في علم االتفسير. الجزء الأول,"ابن الجوزي, أبو الفرج عبد الرحمن بن علي",المكتب الإسلامي,بيروت,1964.0,543,القرآن : تفسير,FSR_4970
297.122/35,زاد المسير في علم التفسير. الجزء الثاني,"ابن الجوزي, أبو الفرج عبد الرحمن بن علي",المكتب الإسلامي,بيروت - دمشق,1965.0,457,القرآن : تفسير,FSR_4971
297.122/36,زاد المسير في علم التفسير. الجزء الثالث,"ابن الجوزي, أبو الفرج عبد الرحمن بن علي",المكتب الإسلامي,بيروت,1965.0,522,القرآن : تفسير,FSR_4972
297.122/37,زاد المسير في علم التفسير. الجزء الرابع,"ابن الجوزي, أبو الفرج عبد الرحمن بن علي",المكتب الإسلامي,بيروت,1965.0,609,القرآن : تفسير,FSR_4973
297.122/38,زاد المسير في علم التفسير. الجزء الخامس,"ابن الجوزي, أبو الفرج عبد الرحمن بن علي",المكتب الإسلامي,بيروت,1964.0,496,القرآن : تفسير,FSR_4974
297.122/39,زاد المسير في علم التفسير. الجزء السادس,"ابن الجوزي, أبو الفرج عبد الرحمن بن علي",المكتب الإسلامي,بيروت,1964.0,499,القرآن : تفسير,FSR_4975
297.122/40,زاد المسير في علم التفسير. الجزء السابع,"ابن الجوزي, أبو الفرج عبد الرحمن بن علي",دمشق : المكتب الإسلامي,بيروت,1965.0,478,القرآن : تفسير,FSR_4976
297.122/41,زاد المسير في علم التفسير. الجزء الثامن,"ابن الجوزي, أبو الفرج عبد الرحمن بن علي",دمشق : المكتب الإسلامي,بيروت,1965.0,452,القرآن : تفسير,FSR_4977
297.418/03,كتاب القصاص والمذكرين,"ابن الجوزي, أبو الفرج عبد الرحمن بن علي",مارلين سوارتز,بيروت,1971.0,440,الوعظ والإرشاد,FSR_25436
297.152/03,نواسخ القرآن,"ابن الجوزي, جمال الدين أبو الفرج عبد الرحمن بن علي",الجامعة الإسلامية,المدينة المنورة,1984.0,581,القرآن : النسخ,FSR_19816
297/133,الجليس الصالح والأنيس الناصح,"ابن الجوزي, سبط",رياض الرئيس للكتب والنشر,لندن,1989.0,322,الإسلام,FSR_21025
297.831/03,حز الغلاصم في إفحام المخاصم عند جريان النظر في أحكام القدر,"ابن الحاج القفطي, شيث بن ابراهيم بن حيدره",مؤسسة الكتب الثقافية,بيروت,1985.0,127,المعتزلة : الرد على المعتزلة,FSR_18421
297.42/08 ج1,المدخل,"ابن الحاج, أبو عبد الله محمد بن محمد",دار الفكر,بيروت,1977.0,315,العبادات : وعظ وارشاد,FSR_7713
297.42/09 ج2,المدخل,"ابن الحاج, أبو عبد الله محمد بن محمد",دار الفكر,بيروت,1977.0,336,العبادات : وعظ وارشاد,FSR_7714
297.42/10 ج3,المدخل,"ابن الحاج, أبو عبد الله محمد بن محمد",دار الفكر,بيروت,1977.0,300,العبادات : وعظ وارشاد,FSR_7715
297.42/11 ج4,المدخل,"ابن الحاج, أبو عبد الله محمد بن محمد",دار الفكر,بيروت,1977.0,315,العبادات : وعظ وارشاد,FSR_7716
801.56/30,شرح الوافية نظم الكافية,"ابن الحاجب, أبو عمرو عثمان",مطبعة الاداب,بغداد,1981.0,428,النحو العربي,FSR_7361
091/04,كناش الحائل.,"ابن الحسن, التطواني الأندلسي أبي عبد الله بن محمد.",مطبعة المعارف الجديدة.,الرباط.,1999.0,619,المخطوطات : التراث.,FSR_28222
956.95/02,الآثار الكاملة للملك عبد الله ابن الحسين,"ابن الحسين, عبد الله",الدار المتحدة للنشر,بيروت,1979.0,576,تاريخ الآثار الأردنية,FSR_12601
03:008/01,مفردات ابن الخطيب: قاموس للألفاظ الحضارية من القرن الثامن الهجري,"ابن الخطيب, لسان الدين",منشورات عكاظ,عكاظ,1988.0,116,المعجم الحضاري,FSR_19901
03:008/01 مكرر,مفردات ابن الخطيب: قاموس للألفاظ الحضارية من القرن الثامن الهجري,"ابن الخطيب, لسان الدين",منشورات عكاظ,عكاظ,1988.0,116,المعجم الحضاري,FSR_18560
82-1/103 م1,ديوان لسان الدين بن الخطيب السلماني,"ابن الخطيب, لسان الدين",دار الثقافة,الدار البيضاء,1989.0,446,ديوان شعري,FSR_19919
82-1/103 م2,ديوان لسان الدين بن الخطيب السلماني,"ابن الخطيب, لسان الدين",دار الثقافة,الدار البيضاء,1989.0,849,ديوان شعري,FSR_19920
946.81/11,اللمحة البدرية في الدولة النصرية,"ابن الخطيب, لسان الدين",دار الآفاق,بيروت,1978.0,153,تاريخ الأندلس (الدولة الأموية),FSR_6932
964/185,معيار الإختيار في دكر المعاهد والديار,"ابن الخطيب, لسان الدين",مطبعة أكدال,مغرب,1977.0,164,تاريخ المغرب,FSR_26641
964/51,كتاب معيار الاختيار في ذكر المعاهد والديار,"ابن الخطيب, لسان الدين",المعهد الجامعي للبحث العلمي بالمغرب,الرباط,1977.0,164,التاريخ المغربي,FSR_713
297.81/22 ج1,روضة التعريف بالحب الشريف,"ابن الخطيب, لسان الدين أبو عبد الله محمد بن عبد الله",دار الثقافة,الدار البيضاء,1970.0,414,التصوف,FSR_4742
297.81/22 ج2,روضة التعريف بالحب الشريف,"ابن الخطيب, لسان الدين أبو عبد الله محمد بن عبد الله",دار الثقافة,الدار البيضاء,1970.0,816,التصوف,FSR_4743
961/05,تاريخ المغرب العربي في العصر الوسيط,"ابن الخطيب, لسان الدين الغرناطي",دار الكتاب,البيضاء,1964.0,323,تاريخ شمال افريقيا,FSR_5104
297.6/01,مغازي رسول الله برواية أبي الأسود,"ابن الزبير, عروة",مكتب التربية العربي لدول الخليج,الرياض,1981.0,254,السيرة النبوية,FSR_11016
297.6/01 مكرر,مغازي رسول الله برواية أبي الأسود,"ابن الزبير, عروة",مكتب التربية العربي لدول الخليج,الرياض,1981.0,254,السيرة النبوية,FSR_21465
297.6/02,مغازي رسول الله برواية أبي الأسود,"ابن الزبير, عروة",مكتب التربية العربي لدول الخليج,جدة,1981.0,254,السيرة النبوية,FSR_11017
297.81/05 مكرر1,التشوف إلى رجال التصرف وأخبار أبي العباس السبتي,"ابن الزيات, أبو يعقوب يوسف",كلية الآداب والعلوم الإنسانية,الرباط,1984.0,542,التصوف,FSR_14783
297.7/28,التشوف الى رجال التصوف وأخبار أبي العباس السبتي,"ابن الزيات, أبو يعقوب يوسف بن يحيى التادلي",منشورات كلية الآداب والعلوم الانسانية,الرباط,1997.0,542,سير الشخصيات الاسلامية,FSR_29122
297.81/05,التشوف إلى رجال التصوف وأخبار أبي العباس السبتي,"ابن الزيات, ابو يعقوب يوسف",كلية الآداب والعلوم الإنسانية,الرباط,1984.0,542,التصوف,FSR_13960
091:82/06 ج9,قلائد الجمان في فرائد شعراء هدا الزمان,"ابن الشعائر الموصلي, المبارك بن أحمد",معهد تاريخ العلوم العربية والإسلامية,فرنكفورت,1990.0,495,مخطوطات: الأدب,FSR_3961
091:82/06 ج6,قلائد الجمان في فرائد شعراء هدا الزمان,"ابن الشعار الموصلي, المبارك أحمد",معهد تاريخ العلوم العربية والإسلامية,فرنكفورت,1990.0,552,مخطوطات: الأدب,FSR_3963
091:82/06 ج1,قلائد الجمان في فرائد شعراء هذا الزمان,"ابن الشعار الموصلي, المبارك بن أحمد",معهد تاريخ العلوم العربية والإسلامية,فرانكفورت,1990.0,613,مخطوطات: الأدب,FSR_3967
091:82/06 ج10,قلائد الجمان في فرائد شعراء هدا الزمان,"ابن الشعار الموصلي, المبارك بن أحمد",معهد تاريخ العلوم العربية والإسلامية,فرانكفورت,1990.0,578,محطوطات: الأدب,FSR_3960
091:82/06 ج3,قلائد الجمان في فرائد شعراء هدا الزمان,"ابن الشعار الموصلي, المبارك بن أحمد",معهد تاريخ العلوم العربية والإسلامية,فرانكفورت,1990.0,592,مخطوطات: الأدب,FSR_3966
091:82/06 ج4,قلائد الجمان في فرائد شعراء هدا الزمان,"ابن الشعار الموصلي, المبارك بن أحمد",معهد تاريخ العلوم العربية والإسلامية,فرانكفور,1990.0,550,مخطوطات: الأدب,FSR_3965
091:82/06 ج5,قلائد الجمان في شعراء هدا الزمان,"ابن الشعار الموصلي, المبارك بن أحمد",معهد تاريخ العلوم العربية والإسلامية,فرانكفورت,1990.0,626,مخطوطات: الأدب,FSR_3964
92/36,كتاب عناية أولى المجد بذكر آل الفاسي ابن الجدويلية منظومة الدرالصفي في وصف ما أبدى الجمال اليوسفي,"ابن الطيب, محمد",المطبعة الجديدة,فاس,1347.0,108,بيوغرافيا,FSR_860
297.125/109,تنوير المقباس,ابن العباس,المكتبة الشعبية,القاهرة,1972.0,527,القرآن : تفسير,FSR_17416
930_927/02,تاريخ الزمان,"ابن العبري, أبو الفرج جمال الدين",دار المشرق,بيروت,1986.0,416,علم التاريخ العربي,FSR_18464
930_927/02 مكرر,تاريخ الزمان,"ابن العبري, أبو الفرج جمال الدين",دار المشرق,بيروت,1986.0,416,علم التاريخ العربي,FSR_19745
091:91/01 م1,بغية الطلب في تاريخ حلب,"ابن العديم, كمال الدين عمر بن أحمد",معهد تاريخ العلوم العربية والاسلامية,فرانكفورت,1986.0,513,مخطوطات: الجغرافية,FSR_17980
297.125/103 ج1,أحكام القرآن. القسم الأول: من الفاتحة لآخر سورة النساء,"ابن العربي, أبو بكر محمد بن عبد الله",دار الكتب العلمية,بيروت,1988.0,654,القرآن: تفسير,FSR_19945
297.125/103 ج2,أحكام القرآن: القسم التاني: من أول المائدة لآخر سورة التوبة,"ابن العربي, أبو بكر محمد بن عبد الله",دار الكتب العلمية,بيروت,1988.0,613,القرآن : تفسير,FSR_19946
297.125/103 ج3,أحكام القرآن. القسم الثالث: من أول يونس لآخر سورة الأحزاب,"ابن العربي, أبو بكر محمد بن عبد الله",دار الكتب العلمية,بيروت,1988.0,629,القرآن : تفسير,FSR_19947
297.125/103 ج4,أحكام القرآن. القسم الرابع: من أول سبأ لآخر القرآن الكريم,"ابن العربي, أبو بكر محمد بن عبد الله",دار الكتب العلمية,بيروت,1988.0,471,القرآن : تفسير,FSR_19948
297.125/66,أحكام القرآن. المجلد الأول: الجزء الأول والثاني,"ابن العربي, أبو بكر محمد بن عبد الله",دار الفكر,بيروت,1972.0,1043,القرآن: تفسير,FSR_547
297.125/67,أحكام القرآن. المجلد التاني: الجزء الثالث والرابع,"ابن العربي, أبو بكر محمد بن عبد الله",دار الفكر,بيروت,1972.0,1112,القرآن: تفسير,FSR_548
297.6/46,كتاب جواهر المعاني و بلوغ الأماني. وبهامشه كتاب رماح حزب الرحيم على نجور حزب الرجيم لعمر الطوري الكدودى,"ابن العربي, علي حرازم",دار الفكر,بيروت,1963.0,288,السيرة النبوية,FSR_4803
297.81/09,الوصايا,"ابن العربي, محيي الدين أبو عبد الله",دار الإيمان,دمشق,1958.0,303,التصوف,FSR_4716
297.122/09,كشف السرائر في معنى الوجوه والأشباه والنظائر,"ابن العماد, محمد بن محمد بن علي",مؤسسة شباب الجامعة,الإسكندرية,1977.0,318,القرآن : تفسير,FSR_4428
92/13,أتحاف ذوي العلم والرسوخ بتراجم من أخدت عنه من الشيوخ,"ابن الفاطمي, محمد",دار الطباعة الحديثة,الدار البيضاء,1978.0,245,بيوغرافيا,FSR_10252
92_468.1/01 م3 ج1 مكرر,تاريخ علماء الأندلس. المجلد الثالث,ابن الفرض,دار الكتاب اللبناني,بيروت,1983.0,477,بيوغرافيا,FSR_21296
92_468.1/01 م3 ج1 مكرر2,تاريخ علماء الأندلس,ابن الفرضي,دار الكتاب اللبناني,بيروت,1983.0,477,بيوغرافيا,FSR_18775
92_468.1/01 م3 ج2,تاريخ علماء الأندلس,ابن الفرضي,دار الكتاب اللبناني,بيروت,1984.0,477,بيوغرافيا,FSR_18774
93_468.1/04 ج1,تاريخ العلماء والرواة للعلم بالأندلس,"ابن الفرضي, أبو الوليد عبد الله بن محمد",المؤسسة السعودية بمصر,القاهرة,1988.0,487,تاريخ الأندلس,FSR_23027
92_468.1/01 م3,تاريخ علماء الأندلس,"ابن الفرضي, الأزدي أبو الوليد عبد الله بن محمد",دار الكتاب المصري - اللبناني,بيروت,1979.0,477,بيوغرافيا,FSR_22573
92_468.1/01 م4 ج2,تاريخ علماء الأندلس,"ابن الفرضي, الأزدي أبو الوليد عبد الله بن محمد",دار الكتاب المصري - اللبناني,بيروت,1989.0,949,بيوغرافيا,FSR_21297
92_468.1/01 م5 ج3,تاريخ علماء الأندلس,"ابن الفرضي, الأزدي أبو الوليد عبد الله بن محمد",دار الكتاب المصري - اللبناني,بيروت,1989.0,271,بيوغرافيا,FSR_22574
961.1/07,الفارسية في مبادئ الدولة الحفصية,"ابن القنفد القسنطيني, علي بن الخطيب",الدار التونسية للنشر,تونس,1968.0,356,تاريخ تونس,FSR_5123
92/16,ألف سنة من الوفيات في ثلاثة كتب: شرف الطالب في السنى المطالب,"ابن القنفد, أحمد",دار المغرب,الرباط,1976.0,401,بيوغرافيا,FSR_5256
92_468.1/01 م2 مكرر,تاريخ افتتاح الأندلس,"ابن القوطية, أبو بكر محمد بن عمر",دار الكتاب اللبناني,بيروت,1972.0,157,بيوغرافيا,FSR_23017
396_927/01,أخبار النساء: أشهر أخبار النساء في التاريخ العربي,"ابن القيم الجوزية, ابو عبد الله محمدبن بكر",دار مكتبة الحياة,بيروت,1963.0,253,المرأة,FSR_7865
297.26/19,الكواكب النيرات في معرفة من اختلط من الرواة الثقات,"ابن الكيال, ابو البركات محمد بن أحمد",دار المامون للتراث,دمشق - بيروت,1981.0,558,الحديث : الرواة,FSR_10103
297.26/19 مكرر,الكواكب النيرات في معرفة من اختلط من الرواة الثقات,"ابن الكيال, ابو البركات محمد بن أحمد",دار المامون للتراث,دمشق - بيروت,1981.0,558,الحديث : الرواة,FSR_10102
297.41/35,المختصر في أصول الفقه على مذهب الإمام أحمد بن حنبل,"ابن اللحام, علي بن محمد أبو الحسن",دار الفكر,دمشق,1980.0,231,أصول الفقه,FSR_10098
297.41/36,المختصر في أصول الفقه على مذهب الامام أحمد بن حنبل,"ابن اللحام, علي بن محمد أبو الحسن",دار الفكر,دمشق,1980.0,219,أصول الفقه,FSR_10099
297.41/37,المختصر في أصول الفقه على مذهب الإمام أحمد بن حنبل,"ابن اللحام, علي بن محمد أبو الحسن",دار الفكر,دمشق,1980.0,281,أصول الفقه,FSR_10101
297.41/37 مكرر,المختصر في أصول الفقه على مذهب الإمام أحمد بن حنبل,"ابن اللحام, علي بن محمد أبو الحسن",دار الفكر,دمشق,1980.0,231,أصول الفقه,FSR_10100
82-1_ام/06 ج2,كتاب النقائض : نقائض جرير والفرزدق,"ابن المثنى التيمي, أبو عبيدة معمر",مطبعة بريل,ليدن المحروسة,1907.0,1099,الأدب الأموي,FSR_7941
82-1_ام/07 ج3,كتاب النقائض : نقائض جرير والفرزدق,"ابن المثنى التيمي, أبو عبيدة معمر",مطبعة بريل,ليدن المحروسة,1908.0,637,الأدب الأموي,FSR_7942
82-1_ام/05 ج1,كتاب النقائض : نقائض جرير والفرزدق,"ابن المثنى التيمي, ابو عبيدة معمر",مطبعة بريل,ليدن المحروسة,1905.0,525,الأدب الأموي,FSR_7940
82-1_عب/33,الحنين إلى الأوطان,"ابن المرزيان, محمد بن سهيل",عالم الكتب,بيروت,1987.0,132,الأدب العباسي,FSR_18759
82-1_عب/14,طبقات الشعراء,ابن المعتز,دار المعارف,القاهرة,1976.0,603,الأدب العباسي,FSR_5474
82-51/03,"المجموعة الكاملة لمؤلفات عبد الله بن المقفع : الأدب الصغير, الأدب الكبير, رسالة الصحابة, كليلة ودمنة","ابن المقفع, عبد الله",دار التوثيق,بيروت,1978.0,321,النثر الأدبي,FSR_5364
82-51/04,كليلة ودمنة,"ابن المقفع, عبد الله",دار بوسلامة,تونس,1977.0,318,النثر الأدبي,FSR_5389
297.414/02,الإجماع: يتضمن المسائل الفقهية المتفق عليها عند أكتر علماء المسلحين,"ابن المنذر, أبو بكر محمد بن إبراهيم",رئاسة المحاكم الشرعية والشؤون الدينية,قطر,1987.0,154,الإجماع,FSR_21463
949.6/04,العراضة في الحكاية السلجوقية,"ابن النضام, الحسيني محمد بن محمد بن عبد الله",جامعة بغداد,بغداد,1979.0,172,تاريخ تركيا,FSR_6175
091:51/01,كتاب في حل شكوك كتاب أقليدس في الأصول وشرح معانيه,"ابن الهيثم, أبو علي الحسن بن الحسن",معهد تاريخ العلوم العربية والاسلامية,فرانكفورت,1985.0,407,مخطوطات: الرياضيات,FSR_17974
1:297/60,إيثار الحق على الخلق في رد الخلافات إلى المذهب الحق من أصول التوحيد,"ابن الوزير, أبو عبد الله محمد ابن المرتضى",دار الكتب العلمية,بيروت,1983.0,422,فلسفة إسلامية: علم الكلام,FSR_17115
297.122/52,تفسير ابن باديس في مجالس التذكير من كلام الحكيم الخبير,"ابن باديس, عبد الحميد",دار الفكر,بيروت,1971.0,724,القرآن : تفسير,FSR_2513
92_468.1/01 م11 ج1,الصلة,ابن بشكوال,دار الكتاب المصري - اللبناني,بيروت,1989.0,3920,بيوغرافيا,FSR_22581
92_468.1/01 م12 ج2,الصلة,ابن بشكوال,دار الكتاب المصري - اللبناني,بيروت,1989.0,772,بيوغرافيا,FSR_22582
92_468.1/01 م13 ج3,الصلة,ابن بشكوال,دار الكتاب المصري - اللبناني,بيروت,1989.0,1014,بيوغرافيا,FSR_22583
63/07,كتاب الفلاحة,ابن بصال,معهد مولاي الحسن,تطوان,1955.0,413,الزراعة,FSR_7834
964/81,رحلات ابن بطوطة,ابن بطوطة,دار التراث,بيروت,1968.0,682,تاريخ المغرب,FSR_5127
3/09,تأملات,"ابن بني, مالك",دار الفكر,دمشق,1986.0,220,العلوم الإجتماعية,FSR_25262
091:82/06 ج7,قلائد الجمان في فرائد شعراء هدا الزمان,"ابن تاشعار الموصلي, المبارك أحمد",معهد تاريخ العلوم العربية والإسلامية,فرانكفورت,1990.0,488,مخطوطات: الأدب,FSR_3962
297.43_091/03,محاضرات في تاريخ التشريع الإسلامي,"ابن تاويت, محمد",كريماديس للطباعة,تطوان,1961.0,132,التشريع الإسلامي: تاريخ,FSR_849
82-1_أن/10,شعر ابن عبد ربه,"ابن تاويت, محمد",دار المغرب,الدار البيضاء,1978.0,104,الأدب الأندلسي,FSR_9749
82-1_مغ/20 ج1,الوافي بالأدب العربي في المغرب الأقصى,"ابن تاويت, محمد",دار الثقافة,الدار البيضاء,1982.0,358,الأدب المغربي,FSR_9597
82-1_مغ/20 ج2,الوافي بالآداب العربي في المغرب الأقصى. الجزء الثاني,"ابن تاويت, محمد",دار الثقافة,الدار البيضاء,1983.0,648,الأدب المغربي,FSR_23220
82-1_مغ/20 ج3,الوافي بالأدب العربي في المغرب الأقصى. الجزء الثالث,"ابن تاويت, محمد",دار الثقافة,الدار البيضاء,1984.0,1012,الأدب المغربي,FSR_23234
964/84,تاريخ سبتة,"ابن تاويت, محمد",منشورات الجمعية المغربية للتأليف والترجمة والنشر,البيضاء,1982.0,230,تاريخ المغرب,FSR_11536
297.2/19 ج1,المنتقى من أخبار المصطفى (ص),"ابن تيمية الحراني, مجد الدين أبو البركات عبد السلام",دار المعرفة,بيروت,1978.0,687,الحديث,FSR_2510
297.2/20 ج2,المنتقى من أخبار المصطفى (ص),"ابن تيمية الحراني, مجد الدين أبو البركات عبد السلام",دار المعرفة,بيروت,1978.0,966,الحديث,FSR_2511
297.417/42 م5,مجموع فتاوي شيخ الإسلام أحمد بن تيمية. الأسماء والصفات. الجزء الأول,"ابن تيمية, أبو العباس أحمد",المكتب التعليمي السعودي,المغرب,1981.0,607,الفتاوي,FSR_8084
297.417/63 م26,مجموع فتاوي شيخ الإسلام أحمد بن تيمية. الفقه. الجزء السادس. الحج,"ابن تيمية, أبو العباس أحمد",المكتب التعليمي السعودي,المغرب,1981.0,527,الفتاوي,FSR_8105
297.417/67 م30,مجموع فتاوي شيخ الإسلام أحمد بن تيمية. الصلح إلى الوقف,"ابن تيمية, أبو العباس أحمد",المكتب التعليمي السعودي,المغرب,1981.0,416,الفتاوي,FSR_8109
297.417/71 م34,مجموع فتاوي شيخ الإسلام أحمد بن تيمية. الظهار الى قتال أهل البغي,"ابن تيمية, أبو العباس أحمد",المكتب التعليمي السعودي,المغرب,1981.0,271,الفتاوي,FSR_8113
297.417/72 م35,مجموع فتاوي شيخ الإسلام أحمد بن تيمية. قتال أهل البغي إلى نهاية الإقرار,"ابن تيمية, أبو العباس أحمد",المكتب التعليمي السعودي,المغرب,1981.0,477,الفتاوي,FSR_8114
297.417/73 م36,الفهارس العامة والتقريب لمجموع فتاوي شيخ الإسلام أحمد بن تيمية. المجلد الأول,"ابن تيمية, أبو العباس أحمد",المكتب التعليمي السعودي,المغرب,1981.0,468,الفتاوي,FSR_8115
297.42/06,القواعد النورانية الفقهية,"ابن تيمية, أبو العباس أحمد",دار المعرفة,بيروت,1979.0,272,العبادات,FSR_17350
16_927/03,نقض المنطق,"ابن تيمية, أبو العباس أحمد الحراني",مكتبة السنة المحمدية,القاهرة,1961.0,216,المنطق الإسلامي,FSR_10304
297.122/22,دقائق التفسير. الجزء الأول,"ابن تيمية, أبو العباس أحمد بن عبد الحليم",دار الأنصار,القاهرة,1978.0,348,القرآن : تفسير,FSR_7913
297.122/23,دقائق التفسير. الجزء التاني,"ابن تيمية, أبو العباس أحمد بن عبد الحليم",دار الأنصار,القاهرة,1978.0,364,القرآن : تفسير,FSR_7914
297.3/03,الإيمان,"ابن تيمية, أبو العباس أحمد بن عبد الحليم",المكتب الإسلامي,القاهرة,1976.0,455,الإيمان,FSR_606
297.413/01,منهاج السنة النبوية في نقض كلام الشيعة والقدرية. وبهامشه كتاب بيان موافقة صريح المعقول لصحيح المنقول لنفس المؤلف. المجلد الأول,"ابن تيمية, أبو العباس أحمد بن عبد الحليم",المطبعة الكبرى الأميرية,مصر,1321.0,262,السنة النبوية,FSR_535
297.413/02,منهاج السنة النبوية في نقض كلام الشيعة والقدرية. وبهامشه كتاب بيان موافقة صريح المعقول لصحيح المنقول لنفس المؤلف. المجلد التاني,"ابن تيمية, أبو العباس أحمد بن عبد الحليم",المطبعة الكبرى الأميرية,مصر,1322.0,308,السنة النبوية,FSR_536
297.417/75 م37,الفهارس العامة والترقيب لمجموع فتاوي شيخ الإسلام لأحمد بن تيمية. المجلد التاني,"ابن تيمية, أبو العباس أحمد بن عبد الحليم",المكتب التعليمي السعودي,المغرب,1981.0,514,الفتاوي,FSR_17271
297.122/12,مقدمة في أصول التفسير,"ابن تيمية, أبو العباس أحمد بن عبد العليم",المطبعة السلفية ومكتبتها,القاهرة,1977.0,47,القرآن : تفسير,FSR_4627
1/47,دراسات فلسفية: العلم في الفلسفة,"ابن جاء بالله, حمادي",الدار التونسية,تونس,1985.0,188,فلسفة,FSR_18756
82-992/04,رحلة ابن جبير,"ابن جبير, أبو الحسن محمد بن أحمد",دار ومكتبة الهلال,بيروت,1981.0,284,الرحلات,FSR_15757
82-31/35,ليلة القدر,"ابن جلون, الطاهر",دار توبقال للنشر,الدار البيضاء,1987.0,149,الرواية,FSR_18360
82-31/35 مكرر,ليلة القدر,"ابن جلون, الطاهر",دار توبقال للنشر,الدار البيضاء,1988.0,149,الرواية,FSR_20283
82-32/20,لولا الإنسان,"ابن جلون, عبد المجيد",منشورات وزارة الثقافة,الرباط,1972.0,194,القصة,FSR_6084
82-32/20 مكرر,لولا الإنسان,"ابن جلون, عبد المجيد",وزارة الثقافة,الرباط,1972.0,194,القصة,FSR_6085
82-992/20,جولات في مغرب أمس: بعد الحماية,"ابن جلون, عبد المجيد",مطبعة النجاح,الدار البيضاء,1975.0,194,الرحلات,FSR_5218
297.432.5/06,تحرير الأحكام في تدبير أهل الإسلام,"ابن جماعة, بدر الدين",رئاسة المحاكم الشرعية و الشؤون الدينية,قطر,1985.0,358,الخلافة و الإمامة,FSR_15238
297.432.5/06 مكرر,تحرير الأحكام في تدبير أهل الإسلام,"ابن جماعة, بدر الدين",رئاسة المحاكم الشرعية و الشؤون الدينية,قطر,1985.0,358,الخلافة و الإمامة,FSR_17860
297.432.5/07,تحرير الأحكام في تدبير أهل الإسلام,"ابن جماعة, بدر الدين",رئاسة المحاكم الشرعية و الشؤون الدينية,قطر,1985.0,358,الخلافة و الإمامة,FSR_15306
297.432.5/07 مكرر,تحرير الأحكام في تدبير أهل الإسلام,"ابن جماعة, بدر الدين",رئاسة المحاكم الشرعية و الشؤون الدينية,قطر,1987.0,358,الخلافة و الإمامة,FSR_17778
801.552/03 ج1,المنصف,"ابن جني, أبو الفتح عثمان",إدارة الثقافة العامة,القاهرة,1954.0,464,الصرف,FSR_23412
801.552/04 ج2,المنصف,"ابن جني, أبو الفتح عثمان",إدارة الثقافة العامة,القاهرة,1954.0,448,الصرف,FSR_23413
801.552/05 ج3,المنصف,"ابن جني, أبو الفتح عثمان",إدارة الثقافة العامة,القاهرة,1960.0,350,الصرف,FSR_23414
297.2/25,تهديب التهديب. المجلد الثالث,"ابن حجر العسقلاني, أبو الفضل أحمد بن علي",دار الفكر,بيروت,1969.0,488,الحديث,FSR_4829
297.2/26,تهديب التهديب. المجلد الرابع,"ابن حجر العسقلاني, أبو الفضل أحمد بن علي",دار الفكر,بيروت,1968.0,464,الحديث,FSR_4830
297.2/27,تهديب التهديب. المجلد الخامس,"ابن حجر العسقلاني, أبو الفضل أحمد بن علي",دار الفكر,بيروت,1968.0,391,الحديث,FSR_4831
297.2/28,تهديب التهديب. المجلد السادس,"ابن حجر العسقلاني, أبو الفضل أحمد بن علي",دار الفكر,بيروت,1968.0,463,الحديث,FSR_4832
297.2/29,تهديب التهديب. المجلد السابع,"ابن حجر العسقلاني, أبو الفضل أحمد بن علي",دار الفكر,بيروث,1968.0,507,الحديث,FSR_4833
297.2/30,تهديب التهديب. المجلد الثامن,"ابن حجر العسقلاني, أبو الفضل أحمد بن علي",دار الفكر,بيروت,1968.0,470,الحديث,FSR_4834
297.2/31,تهديب التهديب. المجلد التاسع,"ابن حجر العسقلاني, أبو الفضل أحمد بن علي",دار الفكر,بيروت,1968.0,546,الحديث,FSR_4835
